<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
EESR	5	20070110	103000	26.46800	26.55000	26.35100	26.36900
EESR	5	20070110	103500	26.36000	26.36000	26.11300	26.18000
EESR	5	20070110	104000	26.20000	26.26000	26.17000	26.24000
EESR	5	20070110	104500	26.23200	26.37500	26.23000	26.37500
EESR	5	20070110	105000	26.37500	26.50000	26.33600	26.36000
EESR	5	20070110	105500	26.36200	26.44900	26.36000	26.39100
EESR	5	20070110	110000	26.40000	26.45000	26.35000	26.43000
EESR	5	20070110	110500	26.43000	26.68000	26.41300	26.67000
EESR	5	20070110	111000	26.67000	26.67000	26.55000	26.59000
EESR	5	20070110	111500	26.58100	26.58900	26.51000	26.53400
EESR	5	20070110	112000	26.53400	26.56000	26.49200	26.53000
EESR	5	20070110	112500	26.52900	26.54900	26.43000	26.47200
EESR	5	20070110	113000	26.48000	26.58000	26.47200	26.54100
EESR	5	20070110	113500	26.55000	26.56900	26.53000	26.53000
EESR	5	20070110	114000	26.52800	26.54000	26.49100	26.50000
EESR	5	20070110	114500	26.49100	26.61300	26.49100	26.58200
EESR	5	20070110	115000	26.58200	26.60000	26.53200	26.57000
EESR	5	20070110	115500	26.55000	26.57000	26.53500	26.54500
EESR	5	20070110	120000	26.54500	26.60100	26.53600	26.59700
EESR	5	20070110	120500	26.59400	26.60000	26.53700	26.55500
EESR	5	20070110	121000	26.56000	26.57000	26.55100	26.55100
EESR	5	20070110	121500	26.56600	26.56800	26.50000	26.51900
EESR	5	20070110	122000	26.51000	26.55000	26.47000	26.50500
EESR	5	20070110	122500	26.50500	26.51600	26.45000	26.48000
EESR	5	20070110	123000	26.47100	26.49000	26.43500	26.43500
EESR	5	20070110	123500	26.43500	26.53000	26.36300	26.40000
EESR	5	20070110	124000	26.39800	26.44800	26.35500	26.42000
EESR	5	20070110	124500	26.41300	26.44000	26.40000	26.44000
EESR	5	20070110	125000	26.43900	26.43900	26.39500	26.40000
EESR	5	20070110	125500	26.40000	26.41800	26.38000	26.39000
EESR	5	20070110	130000	26.39900	26.40000	26.37000	26.39000
EESR	5	20070110	130500	26.39100	26.40900	26.38000	26.38000
EESR	5	20070110	131000	26.39000	26.40000	26.34900	26.34900
EESR	5	20070110	131500	26.34900	26.38000	26.32200	26.37000
EESR	5	20070110	132000	26.37000	26.40900	26.36300	26.39000
EESR	5	20070110	132500	26.39000	26.40900	26.36000	26.37600
EESR	5	20070110	133000	26.37600	26.39600	26.34000	26.39000
EESR	5	20070110	133500	26.38700	26.39600	26.32000	26.33500
EESR	5	20070110	134000	26.33300	26.33300	26.25500	26.27500
EESR	5	20070110	134500	26.27500	26.27500	26.17000	26.17000
EESR	5	20070110	135000	26.17000	26.24500	26.12300	26.24000
EESR	5	20070110	135500	26.23100	26.31400	26.20200	26.27500
EESR	5	20070110	140000	26.28800	26.38000	26.23000	26.35000
EESR	5	20070110	140500	26.35000	26.36000	26.27000	26.27000
EESR	5	20070110	141000	26.27500	26.30000	26.25200	26.26000
EESR	5	20070110	141500	26.26000	26.27000	26.15500	26.18000
EESR	5	20070110	142000	26.18000	26.27000	26.15600	26.27000
EESR	5	20070110	142500	26.26900	26.27900	26.24000	26.27900
EESR	5	20070110	143000	26.27700	26.30000	26.20500	26.26000
EESR	5	20070110	143500	26.25100	26.27000	26.18700	26.20700
EESR	5	20070110	144000	26.20900	26.23800	26.19000	26.23500
EESR	5	20070110	144500	26.23500	26.27000	26.20700	26.22000
EESR	5	20070110	145000	26.22000	26.23000	26.08700	26.10100
EESR	5	20070110	145500	26.11400	26.12000	25.95000	26.00000
EESR	5	20070110	150000	26.00000	26.09000	25.98300	26.07000
EESR	5	20070110	150500	26.07000	26.09000	26.04000	26.04000
EESR	5	20070110	151000	26.04100	26.05000	25.98300	26.02000
EESR	5	20070110	151500	26.00200	26.14000	26.00000	26.08000
EESR	5	20070110	152000	26.09000	26.12900	26.00000	26.02100
EESR	5	20070110	152500	26.03000	26.03700	25.87500	25.88500
EESR	5	20070110	153000	25.89000	26.03800	25.85500	25.93000
EESR	5	20070110	153500	25.94900	26.01900	25.90500	25.99300
EESR	5	20070110	154000	25.98800	26.06600	25.97100	26.06600
EESR	5	20070110	154500	26.06400	26.09800	26.03000	26.07700
EESR	5	20070110	155000	26.07700	26.13600	26.07000	26.09700
EESR	5	20070110	155500	26.10500	26.15400	26.10000	26.14900
EESR	5	20070110	160000	26.15000	26.16800	26.05500	26.11500
EESR	5	20070110	160500	26.10300	26.11500	26.07600	26.10700
EESR	5	20070110	161000	26.10700	26.10800	26.07200	26.07300
EESR	5	20070110	161500	26.08800	26.09900	26.06500	26.06500
EESR	5	20070110	162000	26.06500	26.09200	26.03200	26.08900
EESR	5	20070110	162500	26.08800	26.10700	26.05200	26.08300
EESR	5	20070110	163000	26.08400	26.15000	26.08000	26.13000
EESR	5	20070110	163500	26.13000	26.24000	26.10300	26.23700
EESR	5	20070110	164000	26.23600	26.30000	26.21000	26.25000
EESR	5	20070110	164500	26.25900	26.26500	26.24000	26.26000
EESR	5	20070110	165000	26.26000	26.35000	26.24000	26.33800
EESR	5	20070110	165500	26.33000	26.52000	26.32000	26.50000
EESR	5	20070110	170000	26.50000	26.57300	26.45500	26.47000
EESR	5	20070110	170500	26.47000	26.61000	26.46500	26.59900
EESR	5	20070110	171000	26.59900	26.63300	26.56000	26.60000
EESR	5	20070110	171500	26.59900	26.68500	26.54100	26.66800
EESR	5	20070110	172000	26.66800	26.66800	26.58200	26.60000
EESR	5	20070110	172500	26.60000	26.61900	26.50200	26.52400
EESR	5	20070110	173000	26.53500	26.54000	26.46100	26.47700
EESR	5	20070110	173500	26.47700	26.52900	26.42200	26.50500
EESR	5	20070110	174000	26.50500	26.52800	26.42000	26.44000
EESR	5	20070110	174500	26.43900	26.45800	26.37500	26.41000
EESR	5	20070110	175000	26.39100	26.46700	26.39000	26.41300
EESR	5	20070110	175500	26.42000	26.48900	26.40300	26.48900
EESR	5	20070110	180000	26.48900	26.51700	26.48000	26.48000
EESR	5	20070110	180500	26.48000	26.48900	26.36600	26.43800
EESR	5	20070110	181000	26.43700	26.43800	26.36600	26.39600
EESR	5	20070110	181500	26.39600	26.47000	26.39600	26.45500
EESR	5	20070110	182000	26.45900	26.49000	26.44600	26.47600
EESR	5	20070110	182500	26.48000	26.48500	26.45000	26.48400
EESR	5	20070110	183000	26.47900	26.55000	26.38200	26.54000
EESR	5	20070110	183500	26.53000	26.67000	26.53000	26.64000
EESR	5	20070110	184000	26.64000	26.75000	26.63000	26.73600
EESR	5	20070111	103000	26.45500	26.57600	26.38700	26.52000
EESR	5	20070111	103500	26.52700	26.62800	26.51000	26.60000
EESR	5	20070111	104000	26.60000	26.72800	26.60000	26.69900
EESR	5	20070111	104500	26.69900	26.78000	26.67100	26.71000
EESR	5	20070111	105000	26.71000	26.78000	26.68200	26.68200
EESR	5	20070111	105500	26.70000	26.71000	26.58500	26.63000
EESR	5	20070111	110000	26.63000	26.68900	26.60000	26.60000
EESR	5	20070111	110500	26.59100	26.61000	26.51500	26.57000
EESR	5	20070111	111000	26.57000	26.57700	26.50600	26.55000
EESR	5	20070111	111500	26.55000	26.59400	26.53100	26.56600
EESR	5	20070111	112000	26.56500	26.56900	26.49500	26.50000
EESR	5	20070111	112500	26.50000	26.53600	26.46000	26.53000
EESR	5	20070111	113000	26.53500	26.54500	26.51600	26.53000
EESR	5	20070111	113500	26.53200	26.64900	26.53200	26.64000
EESR	5	20070111	114000	26.63000	26.63900	26.56700	26.62000
EESR	5	20070111	114500	26.62000	26.62700	26.56000	26.56200
EESR	5	20070111	115000	26.58000	26.64000	26.57100	26.62900
EESR	5	20070111	115500	26.62300	26.62700	26.57400	26.57500
EESR	5	20070111	120000	26.58500	26.62100	26.57500	26.59900
EESR	5	20070111	120500	26.59700	26.59800	26.51500	26.52500
EESR	5	20070111	121000	26.53600	26.58900	26.53600	26.55000
EESR	5	20070111	121500	26.54600	26.64000	26.54000	26.64000
EESR	5	20070111	122000	26.64400	26.74000	26.64000	26.71900
EESR	5	20070111	122500	26.71100	26.71100	26.66400	26.67800
EESR	5	20070111	123000	26.67800	26.71400	26.67800	26.70900
EESR	5	20070111	123500	26.71000	26.75800	26.71000	26.74000
EESR	5	20070111	124000	26.74000	26.74800	26.68000	26.71000
EESR	5	20070111	124500	26.71000	26.74000	26.70100	26.71500
EESR	5	20070111	125000	26.72000	26.80000	26.72000	26.80000
EESR	5	20070111	125500	26.80000	26.86000	26.79000	26.82000
EESR	5	20070111	130000	26.82000	27.03000	26.80500	26.98100
EESR	5	20070111	130500	26.98100	27.01000	26.91100	26.92200
EESR	5	20070111	131000	26.93000	26.95000	26.88600	26.91000
EESR	5	20070111	131500	26.91000	26.92000	26.90000	26.91700
EESR	5	20070111	132000	26.91700	26.92500	26.86000	26.86100
EESR	5	20070111	132500	26.86700	26.88000	26.84000	26.85400
EESR	5	20070111	133000	26.86000	26.92600	26.85800	26.92300
EESR	5	20070111	133500	26.92000	26.92000	26.83800	26.86800
EESR	5	20070111	134000	26.86000	26.87000	26.79200	26.81000
EESR	5	20070111	134500	26.81700	26.81700	26.73200	26.80900
EESR	5	20070111	135000	26.80900	26.81900	26.77700	26.81900
EESR	5	20070111	135500	26.82500	26.84500	26.79000	26.79000
EESR	5	20070111	140000	26.79000	26.81800	26.78000	26.79000
EESR	5	20070111	140500	26.79000	26.79900	26.78000	26.78100
EESR	5	20070111	141000	26.79400	26.80000	26.71100	26.72700
EESR	5	20070111	141500	26.72700	26.77800	26.71100	26.75000
EESR	5	20070111	142000	26.74900	26.76800	26.73500	26.76500
EESR	5	20070111	142500	26.76500	26.78000	26.74000	26.78000
EESR	5	20070111	143000	26.78000	26.78000	26.75000	26.76800
EESR	5	20070111	143500	26.76000	26.76800	26.75300	26.76000
EESR	5	20070111	144000	26.76800	26.79800	26.76000	26.78500
EESR	5	20070111	144500	26.78300	26.78700	26.71600	26.71600
EESR	5	20070111	145000	26.72000	26.74000	26.70300	26.70500
EESR	5	20070111	145500	26.71100	26.73400	26.70100	26.72000
EESR	5	20070111	150000	26.72100	26.73000	26.61000	26.68000
EESR	5	20070111	150500	26.68000	26.68400	26.62100	26.64000
EESR	5	20070111	151000	26.64000	26.65000	26.49000	26.53100
EESR	5	20070111	151500	26.53100	26.57800	26.53000	26.55900
EESR	5	20070111	152000	26.55900	26.56000	26.51000	26.53900
EESR	5	20070111	152500	26.53700	26.53900	26.38200	26.42300
EESR	5	20070111	153000	26.43000	26.43000	26.30200	26.32000
EESR	5	20070111	153500	26.32200	26.43900	26.31300	26.43900
EESR	5	20070111	154000	26.43900	26.43900	26.37500	26.39200
EESR	5	20070111	154500	26.39000	26.47000	26.36100	26.46900
EESR	5	20070111	155000	26.46000	26.50600	26.45000	26.47000
EESR	5	20070111	155500	26.47000	26.50800	26.45500	26.46000
EESR	5	20070111	160000	26.46100	26.48600	26.45600	26.48000
EESR	5	20070111	160500	26.48000	26.48500	26.46600	26.48000
EESR	5	20070111	161000	26.48000	26.52000	26.48000	26.51300
EESR	5	20070111	161500	26.50000	26.51400	26.44100	26.47000
EESR	5	20070111	162000	26.47000	26.48900	26.40400	26.45000
EESR	5	20070111	162500	26.45000	26.47700	26.42500	26.43400
EESR	5	20070111	163000	26.44500	26.52900	26.41400	26.51500
EESR	5	20070111	163500	26.51500	26.51500	26.45900	26.48000
EESR	5	20070111	164000	26.48000	26.54000	26.48000	26.53900
EESR	5	20070111	164500	26.53800	26.59400	26.53300	26.58000
EESR	5	20070111	165000	26.58000	26.72100	26.58000	26.71900
EESR	5	20070111	165500	26.71900	26.78000	26.65100	26.66100
EESR	5	20070111	170000	26.66100	26.75000	26.65000	26.69300
EESR	5	20070111	170500	26.70000	26.72000	26.63500	26.64000
EESR	5	20070111	171000	26.64000	26.69000	26.63500	26.69000
EESR	5	20070111	171500	26.69100	26.77900	26.69000	26.77400
EESR	5	20070111	172000	26.77000	26.87900	26.76000	26.86000
EESR	5	20070111	172500	26.85500	26.88000	26.82000	26.87500
EESR	5	20070111	173000	26.87000	26.94000	26.85400	26.89600
EESR	5	20070111	173500	26.87100	26.94200	26.87000	26.93800
EESR	5	20070111	174000	26.93000	26.94600	26.87000	26.88000
EESR	5	20070111	174500	26.88000	26.99400	26.86400	26.95000
EESR	5	20070111	175000	26.95000	26.97200	26.91200	26.94500
EESR	5	20070111	175500	26.93900	26.95000	26.87200	26.93400
EESR	5	20070111	180000	26.92000	27.08000	26.92000	27.07000
EESR	5	20070111	180500	27.07000	27.15300	27.07000	27.10000
EESR	5	20070111	181000	27.09000	27.11400	27.00100	27.01000
EESR	5	20070111	181500	27.02000	27.08000	26.97100	27.07000
EESR	5	20070111	182000	27.08000	27.18800	27.07700	27.18800
EESR	5	20070111	182500	27.18300	27.22000	27.15100	27.18500
EESR	5	20070111	183000	27.18500	27.21800	27.08100	27.09900
EESR	5	20070111	183500	27.09000	27.11200	27.06100	27.11000
EESR	5	20070111	184000	27.11000	27.13700	27.08500	27.10800
EESR	5	20070112	103000	26.95000	26.95000	26.78400	26.90000
EESR	5	20070112	103500	26.90000	26.94900	26.84200	26.85700
EESR	5	20070112	104000	26.85700	26.89000	26.84600	26.89000
EESR	5	20070112	104500	26.89000	27.09900	26.89000	27.03500
EESR	5	20070112	105000	27.05000	27.07300	26.98000	26.98400
EESR	5	20070112	105500	27.00000	27.18900	26.98000	27.15400
EESR	5	20070112	110000	27.15400	27.25600	27.12200	27.23900
EESR	5	20070112	110500	27.23900	27.23900	27.15600	27.22400
EESR	5	20070112	111000	27.22400	27.27200	27.17200	27.24000
EESR	5	20070112	111500	27.24200	27.38000	27.22300	27.29900
EESR	5	20070112	112000	27.29900	27.35900	27.27800	27.35400
EESR	5	20070112	112500	27.35000	27.44400	27.34900	27.44100
EESR	5	20070112	113000	27.44400	27.47700	27.38700	27.45000
EESR	5	20070112	113500	27.45000	27.46900	27.39000	27.39000
EESR	5	20070112	114000	27.39200	27.40700	27.35200	27.35700
EESR	5	20070112	114500	27.36000	27.38800	27.32000	27.34000
EESR	5	20070112	115000	27.36500	27.36900	27.26200	27.27500
EESR	5	20070112	115500	27.28600	27.34000	27.27700	27.31000
EESR	5	20070112	120000	27.31100	27.36000	27.29200	27.35000
EESR	5	20070112	120500	27.34900	27.35000	27.29000	27.32900
EESR	5	20070112	121000	27.30000	27.30000	27.21200	27.23100
EESR	5	20070112	121500	27.23100	27.27000	27.22300	27.23100
EESR	5	20070112	122000	27.23100	27.24000	27.19500	27.21000
EESR	5	20070112	122500	27.21000	27.29000	27.20900	27.26000
EESR	5	20070112	123000	27.26000	27.28600	27.23400	27.25300
EESR	5	20070112	123500	27.25300	27.26900	27.18100	27.19900
EESR	5	20070112	124000	27.19000	27.22000	27.16000	27.20000
EESR	5	20070112	124500	27.21500	27.27700	27.18400	27.27000
EESR	5	20070112	125000	27.27000	27.31200	27.25100	27.30000
EESR	5	20070112	125500	27.30000	27.30000	27.25300	27.25300
EESR	5	20070112	130000	27.25400	27.27500	27.24000	27.26900
EESR	5	20070112	130500	27.26700	27.32700	27.26700	27.28000
EESR	5	20070112	131000	27.28000	27.29300	27.24200	27.26000
EESR	5	20070112	131500	27.26000	27.26600	27.22200	27.22300
EESR	5	20070112	132000	27.24700	27.24700	27.20300	27.21000
EESR	5	20070112	132500	27.21200	27.26100	27.20300	27.23500
EESR	5	20070112	133000	27.21400	27.23500	27.20500	27.23000
EESR	5	20070112	133500	27.22900	27.25800	27.22000	27.22000
EESR	5	20070112	134000	27.25000	27.28600	27.22800	27.28600
EESR	5	20070112	134500	27.27200	27.32000	27.27000	27.32000
EESR	5	20070112	135000	27.32000	27.32600	27.30000	27.30000
EESR	5	20070112	135500	27.30000	27.31700	27.28700	27.30000
EESR	5	20070112	140000	27.29000	27.32900	27.28000	27.31700
EESR	5	20070112	140500	27.31700	27.31900	27.28000	27.29900
EESR	5	20070112	141000	27.29400	27.30800	27.28500	27.30800
EESR	5	20070112	141500	27.30200	27.36000	27.29500	27.36000
EESR	5	20070112	142000	27.36000	27.37800	27.30200	27.32000
EESR	5	20070112	142500	27.31900	27.33800	27.29100	27.31100
EESR	5	20070112	143000	27.31800	27.34500	27.31800	27.34500
EESR	5	20070112	143500	27.34500	27.36700	27.32200	27.32600
EESR	5	20070112	144000	27.32900	27.33900	27.30200	27.31700
EESR	5	20070112	144500	27.31800	27.34500	27.30500	27.30500
